Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
12,6E1652DF8692B036E201234567333333,141545.95393,141545.95393,141545.95393,630,0,0.00,1,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141545.96197,141545.96197,620,0,0.00,2,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141545.96637,141545.96637,610,0,0.00,3,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141545.97564,141545.97564,570,0,0.00,4,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.01154,141546.01154,630,0,0.00,5,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.02384,141546.02384,600,0,0.00,6,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.03014,141546.03014,580,0,0.00,7,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.04111,141546.04111,570,0,0.00,8,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.04404,141546.04404,550,0,0.00,9,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.05369,141546.05369,550,0,0.00,10,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.05852,141546.05852,520,0,0.00,11,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.07244,141546.07244,490,0,0.00,12,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.07790,141546.07790,490,0,0.00,13,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.08775,141546.08775,460,0,0.00,14,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.09568,141546.09568,450,0,0.00,15,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.10529,141546.10529,460,0,0.00,16,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.10871,141546.10871,450,0,0.00,17,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.11739,141546.11739,460,0,0.00,18,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.12941,141546.12941,490,0,0.00,19,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.13987,141546.13987,520,0,0.00,20,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.14525,141546.14525,550,0,0.00,21,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.16020,141546.16020,580,0,0.00,22,0,,
