Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.29479,201156.29479,690,0,0.00,1,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.29971,201156.29971,700,0,0.00,2,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.39436,201156.39436,690,0,0.00,3,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.40099,201156.40099,660,0,0.00,4,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.40762,201156.40762,660,0,0.00,5,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.41375,201156.41375,660,0,0.00,6,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.42378,201156.42378,620,0,0.00,7,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.42684,201156.42684,630,0,0.00,8,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.43708,201156.43708,630,0,0.00,9,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.43951,201156.43951,610,0,0.00,10,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.44821,201156.44821,610,0,0.00,11,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.45729,201156.45729,560,0,0.00,12,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.46371,201156.46371,570,0,0.00,13,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.46651,201156.46651,570,0,0.00,14,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.47327,201156.47327,560,0,0.00,15,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.47696,201156.47696,560,0,0.00,16,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.48490,201156.48490,560,0,0.00,17,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.48976,201156.48976,570,0,0.00,18,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.49695,201156.49695,560,0,0.00,19,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.50012,201156.50012,660,0,0.00,1,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.50202,201156.50202,550,0,0.00,20,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.50371,201156.50371,660,0,0.00,2,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.51065,201156.51065,580,0,0.00,21,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.51225,201156.51225,670,0,0.00,3,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.51495,201156.51495,570,0,0.00,22,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.52410,201156.52410,580,0,0.00,23,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.52532,201156.52532,660,0,0.00,4,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.52826,201156.52826,580,0,0.00,24,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.53085,201156.53085,660,0,0.00,5,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.54223,201156.54223,590,0,0.00,25,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.54923,201156.54923,630,0,0.00,6,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.55037,201156.55037,580,0,0.00,26,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.55683,201156.55683,590,0,0.00,27,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.55853,201156.55853,620,0,0.00,7,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.55979,201156.55979,600,0,0.00,28,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.56375,201156.56375,610,0,0.00,8,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.57166,201156.57166,600,0,0.00,9,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.57300,201156.57300,590,0,0.00,29,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.57626,201156.57626,610,0,0.00,10,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.58667,201156.58667,600,0,0.00,11,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.59012,201156.59012,600,0,0.00,30,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.59117,201156.59117,600,0,0.00,12,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.60122,201156.60122,590,0,0.00,13,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.60400,201156.60400,660,0,0.00,1,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.60951,201156.60951,600,0,0.00,14,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.61115,201156.61115,670,0,0.00,2,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.62166,201156.62166,600,0,0.00,15,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.62293,201156.62293,680,0,0.00,3,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.62723,201156.62723,570,0,0.00,16,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.62839,201156.62839,700,0,0.00,4,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.63951,201156.63951,600,0,0.00,17,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.64417,201156.64417,660,0,0.00,5,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.64777,201156.64777,600,0,0.00,18,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.64984,201156.64984,610,0,0.00,31,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.66342,201156.66342,580,0,0.00,19,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.66763,201156.66763,690,0,0.00,6,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.66934,201156.66934,580,0,0.00,20,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.67854,201156.67854,580,0,0.00,21,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.68275,201156.68275,730,0,0.00,7,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.68545,201156.68545,580,0,0.00,22,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.69068,201156.69068,660,0,0.00,8,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.69793,201156.69793,660,0,0.00,9,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.69943,201156.69943,570,0,0.00,23,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.70387,201156.70387,560,0,0.00,24,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.70615,201156.70615,660,0,0.00,10,0,,
